,Unnamed: 0,START_DATE,END_DATE
0,373200,2008-01-01,2008-01-02
1,1235411,2000-01-01,2000-01-01
2,916059,2000-01-01,
3,476650,2006-01-01,
4,565758,2006-01-01,
5,640704,2008-01-01,
6,1579051,2012-01-01,2012-01-01
7,1330367,2004-01-01,2004-01-01
8,814154,2005-01-01,
9,1414910,1997-01-01,1997-01-01
10,645470,2008-01-01,
11,1548311,2011-01-01,
12,944720,2002-01-01,
13,1628400,2012-01-01,
14,738140,1994-01-01,1994-01-01
15,1527621,2009-01-01,
16,857495,2002-01-01,
17,639579,2008-01-01,
18,1527720,2009-01-01,
19,868017,1998-01-01,
20,829387,2000-01-01,
21,1056261,2004-01-01,
22,1147232,2009-01-01,2009-01-02
23,646765,2008-01-01,
24,1672137,2013-01-01,2013-01-01
25,1548296,2011-01-01,
26,1817933,2015-01-02,2015-01-02
27,1386315,1993-01-02,1993-01-03
28,428344,2004-01-02,
29,816289,2006-01-02,
30,1377975,1993-01-02,1993-01-02
31,367225,2003-01-02,2003-01-02
32,6417,2006-01-02,2006-01-02
33,249598,2006-01-02,2006-01-02
34,646299,2008-01-02,
35,422810,2005-01-02,
36,405602,2004-01-02,
37,1198324,2009-01-02,
38,1588434,2012-01-02,2012-01-02
39,395470,2007-01-02,
40,250676,2006-01-03,2006-01-03
41,819375,2006-01-03,
42,1013905,1995-01-03,
43,606144,1994-01-03,
44,683311,1994-01-03,
45,566803,2006-01-03,
46,836116,2002-01-03,
47,428120,2004-01-03,
48,1240072,2000-01-03,2000-01-03
49,1412278,1996-01-03,1996-01-03
50,1161843,2005-01-03,2005-01-03
51,152494,2002-01-03,2002-01-03
52,1034735,2000-01-03,
53,628146,2006-01-03,
54,657095,2008-01-03,
55,553494,1998-01-03,
56,1152877,2008-01-03,2008-01-03
57,353994,2006-01-04,2006-01-15
58,476331,2006-01-04,
59,1690331,2013-01-04,
60,404147,2009-01-04,
61,651797,2008-01-04,
62,624773,2006-01-04,
63,386374,2008-01-04,
64,457015,2008-01-04,
65,624834,2006-01-05,
66,154522,2002-01-05,2002-01-05
67,855123,2001-01-05,
68,598578,2000-01-05,
69,893403,2000-01-05,
70,1471180,2011-01-05,2011-01-08
71,1540218,2010-01-05,
72,845740,1999-01-05,
73,381361,2006-01-05,
74,605975,1994-01-05,
75,476595,2006-01-05,
76,393830,2005-01-05,
77,1609482,2012-01-06,2012-01-06
78,1042153,2001-01-06,
79,625959,2006-01-06,
80,1045057,2001-01-06,
81,920005,2001-01-06,
82,1234478,1999-01-06,
83,964316,1994-01-06,
84,1786437,2014-01-06,2014-01-06
85,1609775,2012-01-06,2012-01-06
86,427525,2004-01-06,
87,1628514,2012-01-06,
88,181064,1992-01-06,1992-01-06
89,1619562,2012-01-06,2012-01-06
90,414932,2006-01-06,
91,291155,2008-01-06,2008-01-06
92,1604179,2012-01-06,
93,1042192,2001-01-06,
94,921682,2001-01-06,
95,702422,1994-01-06,1994-01-06
96,249811,2008-01-06,2008-01-07
97,1207432,2010-01-07,
98,1367315,2009-01-07,
99,560635,2003-01-07,
100,309117,2000-01-07,2000-01-07
101,410979,2005-01-07,
102,622359,2005-01-07,
103,249263,2009-01-07,2009-01-07
104,820626,2006-01-07,
105,624349,2006-01-07,
106,427696,2004-01-07,
107,582135,2008-01-07,
108,1244362,2001-01-07,2001-01-07
109,624381,2006-01-07,
110,910153,1999-01-07,
111,1712362,2007-01-07,
112,1185831,2010-01-07,
113,1866014,2004-01-07,
114,1521906,2011-01-08,2011-01-08
115,737625,1994-01-08,1994-01-08
116,339356,2000-01-08,2000-01-08
117,414499,2006-01-08,
118,640049,2008-01-08,
119,1548698,2011-01-08,
120,852625,2000-01-08,
121,1548663,2011-01-08,
122,1436558,1996-01-08,
123,816324,2006-01-08,
124,7044,2006-01-08,2006-01-08
125,194120,1992-01-08,1992-01-09
126,1521370,2011-01-09,2011-01-09
127,1773551,2014-01-09,2014-01-09
128,1159832,2006-01-09,2006-01-09
129,820000,2006-01-09,
130,580611,2003-01-09,
131,1515704,2011-01-09,2011-01-09
132,1817999,2015-01-09,2015-01-09
133,595177,2006-01-09,
134,476345,2006-01-09,
135,458126,2009-01-09,
136,404467,2009-01-09,
137,1380044,1996-01-10,1996-01-10
138,1837508,2015-01-10,
139,1047077,2001-01-10,
140,1484871,2011-01-10,2011-01-10
141,1719430,2011-01-10,
142,1039433,2001-01-10,
143,1382510,1996-01-14,1996-01-14
144,834388,2002-01-14,
145,1430961,1994-01-14,
146,264735,2006-01-14,2006-01-14
147,970860,1999-01-14,
148,625366,2006-01-14,
149,427302,2004-01-14,
150,894639,2000-01-14,
151,998145,1992-01-14,
152,1528579,2009-01-14,
153,1237889,2000-01-14,2000-01-14
154,825947,2000-01-14,
155,365360,2001-01-14,2001-01-16
156,1593605,2012-01-14,2012-01-14
157,1367360,2009-01-14,
158,1582627,2012-01-14,2012-01-17
159,828925,2000-01-15,
160,417177,2003-01-15,
161,672945,2003-01-15,
162,417465,2003-01-15,
163,84653,1996-01-15,1996-01-15
164,912997,1999-01-15,
165,598681,2000-01-15,
166,1528659,2009-01-15,
167,1229466,2009-01-15,2009-01-15
168,1465346,2011-01-15,2011-01-15
169,584280,2004-01-15,
170,268693,2002-01-15,2002-01-15
171,992384,2000-01-15,
172,1237452,2000-01-16,2000-01-16
173,291158,2008-01-16,2008-01-16
174,1879312,2012-01-16,2012-01-16
175,975670,1996-01-16,
176,734776,1994-01-16,1994-01-16
177,706230,1996-01-16,1996-01-16
178,1748468,2014-01-16,2014-01-16
179,1415559,1994-01-16,1994-01-16
180,745900,1992-01-16,1992-01-16
181,1788911,2014-01-16,
182,1766970,2014-01-16,2014-01-16
183,1579763,2012-01-16,2012-01-16
184,1057729,2004-01-16,
185,1430965,1994-01-16,
186,1700169,2003-01-16,
187,1590201,2012-01-16,2012-01-16
188,893188,2000-01-16,
189,1609596,2012-01-16,2012-01-16
190,1378820,1996-01-16,1996-01-16
191,1055988,2004-01-16,
192,529278,2008-01-16,
193,1033415,1999-01-16,
194,852084,2000-01-16,
195,833799,2002-01-16,
196,1114784,2002-01-17,
197,414506,2006-01-17,
198,513811,2006-01-17,
199,1773674,2014-01-17,2014-01-17
200,414505,2006-01-17,
201,414944,2006-01-17,
202,1055300,2004-01-17,
203,783662,1996-01-17,1996-01-17
204,1398375,1996-01-17,1996-01-17
205,1050806,2002-01-17,
206,1604953,2012-01-17,2012-01-17
207,411328,2005-01-18,
208,1763647,2014-01-18,
209,1398228,1996-01-18,1996-01-18
210,746133,1992-01-18,1992-01-18
211,885199,1997-01-18,
212,1063647,1996-01-18,1996-01-18
213,423635,2005-01-18,
214,1522127,2009-01-18,2009-01-18
215,1002182,1992-01-18,
216,1818202,2015-01-18,2015-01-18
217,441580,2006-01-18,
218,1528824,2009-01-18,
219,617941,2006-01-18,
220,626495,2006-01-18,
221,624237,2006-01-18,
222,1528891,2009-01-18,
223,1773746,2014-01-18,2014-01-18
224,588853,2005-01-18,
225,411332,2005-01-19,
226,1367436,2009-01-19,
227,1712605,2007-01-19,
228,1227434,2003-01-19,2003-01-19
229,1868858,2012-01-19,
230,1263203,2006-01-19,2006-01-19
231,936588,1997-01-19,
232,1690521,2013-01-19,
233,1159868,2006-01-19,2006-01-19
234,640533,2008-01-19,
235,1260738,2002-01-19,2002-01-19
236,1784718,2014-01-19,
237,1249602,2001-01-19,2001-01-19
238,472262,2006-01-19,
239,1678530,2013-01-20,2013-01-20
240,881226,1999-01-20,
241,1745961,2014-01-20,2014-01-21
242,997549,1992-01-20,
243,1767554,2014-01-20,2014-01-20
244,1421321,2009-01-20,
245,1767578,2014-01-20,2014-01-20
246,249061,2008-01-20,2008-01-20
247,1520438,2011-01-20,2011-01-20
248,901418,1998-01-20,
249,1253929,2002-01-20,2002-01-20
250,1815902,2015-01-20,2015-01-20
251,573491,2006-01-20,
252,1672695,2013-01-20,2013-01-20
253,411721,2005-01-20,
254,427602,2004-01-20,
255,1529083,2009-01-20,
256,556939,2007-01-20,
257,657913,2008-01-20,
258,1762975,2014-01-20,
259,1767568,2014-01-20,2014-01-20
260,1801672,2015-01-20,2015-01-20
261,1484354,2011-01-20,2011-01-20
262,735437,1994-01-20,1994-01-20
263,602970,2003-01-20,
264,884895,1999-01-20,
265,1818511,2015-01-21,2015-01-21
266,26812,2008-01-21,2008-01-21
267,573494,2006-01-21,
268,1745963,2014-01-21,2014-01-21
269,969752,1998-01-21,
270,1407871,1996-01-21,1996-01-21
271,1712621,2007-01-21,
272,1672782,2013-01-21,2013-01-23
273,1610170,2012-01-21,2012-01-21
274,1408332,1997-01-21,1997-01-21
275,836622,1997-01-21,
276,1310362,2006-01-21,2006-01-21
277,1529173,2009-01-21,
278,628791,2006-01-21,
279,896332,2002-01-21,
280,1529165,2009-01-21,
281,443262,2006-01-21,
282,889271,1999-01-21,
283,1443268,2002-01-21,
284,1391521,1997-01-21,1997-01-21
285,747769,1992-01-22,1992-01-22
286,1712667,2007-01-22,
287,1280428,2009-01-22,2009-01-22
288,1279871,2009-01-22,2009-01-22
289,1700316,2003-01-22,
290,1263142,2006-01-22,2006-01-22
291,246596,1999-01-22,1999-01-23
292,1162726,2004-01-22,2004-01-22
293,1549102,2011-01-22,
294,428573,2004-01-22,
295,1761806,2014-01-22,
296,1009784,1994-01-22,
297,1677024,2013-01-22,2013-01-22
298,959228,1994-01-22,
299,1506184,2011-01-22,
300,1549194,2011-01-22,
301,1473746,2011-01-22,2011-01-22
302,1648068,2013-01-22,2013-01-22
303,1830115,2015-01-22,
304,1549156,2011-01-22,
305,978471,1999-01-22,
306,1414034,1996-01-22,1996-01-22
307,961744,1992-01-22,
308,701012,1994-01-23,1994-01-23
309,1411030,1994-01-23,1994-01-23
310,1429924,1994-01-23,
311,421586,2005-01-23,
312,1059600,2006-01-23,2006-01-23
313,1662350,2013-01-23,2013-01-23
314,1694113,2013-01-23,
315,1540617,2010-01-23,
316,966723,1996-01-23,
317,897924,2000-01-23,
318,205470,1999-01-23,1999-01-23
319,1680924,2013-01-23,2013-01-23
320,1515444,2011-01-23,2011-01-23
321,1749164,2014-01-23,2014-01-23
322,960523,1994-01-24,
323,665984,2009-01-24,
324,1161985,2005-01-24,2005-01-24
325,959737,1997-01-24,
326,422605,2005-01-24,
327,735067,1994-01-24,1994-01-24
328,316280,2006-01-24,2006-01-24
329,1430311,1994-01-24,
330,1818583,2015-01-24,2015-01-24
331,407985,2009-01-24,
332,425562,2005-01-24,
333,473029,2005-01-24,
334,1749249,2014-01-24,2014-01-24
335,855272,2001-01-24,
336,591285,2003-01-24,
337,1056422,2004-01-24,
338,1395351,1994-01-24,1994-01-24
339,1749309,2014-01-25,2014-01-25
340,1275161,2010-01-25,
341,692012,1993-01-25,1993-01-25
342,381582,2006-01-25,
343,832766,2001-01-25,
344,1016822,1995-01-25,
345,636184,2007-01-25,
346,524688,2007-01-25,
347,819826,2006-01-25,
348,932694,2001-01-25,
349,706481,1996-01-25,1996-01-25
350,1430838,1994-01-25,
351,1001844,1992-01-25,
352,1461919,2011-01-25,2011-01-25
353,1421326,2009-01-25,
354,1749313,2014-01-25,2014-01-25
355,250053,2009-01-25,2009-01-25
356,982130,1994-01-25,
357,1162010,2005-01-25,2005-01-25
358,1763238,2014-01-26,
359,701755,1994-01-26,1994-01-26
360,1786588,2014-01-26,2014-01-26
361,1767768,2014-01-26,2014-01-26
362,641403,2008-01-26,
363,896328,2002-01-26,
364,1394938,1996-01-26,1996-01-26
365,1829816,2015-01-26,
366,359498,1993-01-26,1993-01-26
367,438803,2006-01-26,
368,1231253,2010-01-26,
369,1154385,2003-01-26,2003-01-26
370,603268,2004-01-26,
371,1852952,2015-01-26,2015-01-26
372,381536,2006-01-27,
373,1046474,2001-01-27,
374,1250113,2001-01-27,2001-01-27
375,316284,2006-01-27,2006-01-27
376,1043246,2001-01-27,
377,888700,1999-01-27,
378,944474,2002-01-27,
379,1405393,1996-01-27,1996-01-27
380,420042,2003-01-27,
381,565803,2005-01-27,
382,653443,2008-01-27,
383,1422960,2010-01-27,
384,628425,2006-01-27,
385,888050,1998-01-27,
386,1521353,2011-01-27,2011-01-27
387,1710030,2006-01-27,
388,529348,2008-01-28,
389,338409,2002-01-28,2002-01-28
390,1152928,2008-01-28,2008-01-28
391,1710056,2006-01-28,
392,1774227,2014-01-28,2014-01-28
393,874305,1999-01-28,
394,1505362,2011-01-28,
395,809884,2004-01-28,
396,774760,1992-01-28,
397,1326849,1993-01-28,1993-01-28
398,625653,2006-01-28,
399,455642,2008-01-28,
400,1838871,2015-01-28,2015-01-28
401,1356079,2007-01-28,2007-01-28
402,1506359,2011-01-28,
403,1441612,2005-01-28,2005-01-28
404,1808394,2015-01-29,2015-01-29
405,624506,2006-01-29,
406,1584548,2012-01-29,2012-01-29
407,1710092,2006-01-29,
408,1154368,2003-01-29,2003-01-29
409,1042742,2001-01-29,
410,1587725,2012-01-29,2012-01-29
411,933580,2001-01-29,
412,1873163,2014-01-29,
413,6920,2006-01-29,2006-01-29
414,1026176,1997-01-29,
415,1242576,2001-01-29,2001-01-29
416,581440,2008-01-29,
417,1512583,2011-01-29,2011-01-29
418,971005,1999-01-30,
419,1549725,2011-01-30,
420,1473754,2011-01-30,2011-01-30
421,1687400,2013-01-30,2013-01-30
422,1603240,2012-01-30,
423,460328,2009-01-30,
424,841407,1998-01-30,
425,457683,2008-01-30,
426,886196,1997-01-30,
427,1684318,2013-01-30,2013-01-30
428,1473827,2011-01-30,2011-01-30
429,748134,1992-01-30,1992-01-30
430,1377943,1996-01-30,1996-01-30
431,618196,2006-01-30,
432,892648,2000-01-31,
433,1529828,2009-01-31,
434,58604,1993-01-31,1993-01-31
435,1549785,2011-01-31,
436,1549791,2011-01-31,
437,1838993,2015-01-31,2015-01-31
438,1549786,2011-01-31,
439,991911,2002-01-31,
440,1774309,2014-01-31,2014-01-31
441,1001121,1992-01-31,
442,1006302,1993-01-31,
443,600092,2000-01-31,
444,461242,2009-01-31,
445,626279,2006-01-31,
446,481543,2007-01-31,
447,17972,2007-01-31,2007-01-31
448,1375432,1993-01-31,1993-01-31
449,1530023,2009-02-01,
450,1703705,2004-02-01,
451,283807,2004-02-01,2004-02-01
452,384725,2003-02-01,
453,1415834,1993-02-01,1993-02-01
454,426137,2005-02-01,
455,1189882,2009-02-01,
456,1435281,1995-02-01,
457,1611413,2012-02-01,2012-02-01
458,974972,1995-02-01,
459,1713062,2007-02-01,
460,1049449,2002-02-01,
461,969777,1998-02-01,
462,1689691,2013-02-01,2013-02-01
463,34348,2009-02-01,2009-02-01
464,1636817,2013-02-02,2013-02-02
465,1006308,1993-02-02,
466,1719941,2011-02-02,
467,1255181,2002-02-02,2002-02-02
468,1403486,1993-02-02,1993-02-02
469,1006177,1993-02-02,
470,745670,1992-02-02,1992-02-02
471,1839011,2015-02-02,2015-02-02
472,691500,1993-02-02,1993-02-02
473,1676973,2013-02-02,2013-02-02
474,641657,2008-02-02,
475,627631,2006-02-02,
476,1473767,2011-02-02,2011-02-02
477,407891,2009-02-02,
478,968665,1997-02-02,
479,1667003,2013-02-02,2013-02-02
480,690248,1992-02-02,1992-02-02
481,1832617,2015-02-02,
