,OBJECT_ID,CITY,COUNTY,STATE,COUNTRY
0,373200,Escobares,Starr County,Texas,US
1,1235411,Chester,Dodge County,Georgia,US
2,916059,Lesslie,York County,South Carolina,US
3,476650,Stonewall,De Soto Parish,Louisiana,US
4,565758,Antlers,Pushmataha County,Oklahoma,US
5,640704,La Vernia,Wilson County,Texas,US
6,1579051,Wewoka,Seminole County,Oklahoma,US
7,1330367,Brooklyn,Kings County,New York,US
8,814154,Diamondhead,Hancock County,Mississippi,US
9,1414910,Fort Stewart,Liberty County,Georgia,US
10,645470,Uvalde,Uvalde County,Texas,US
11,1548311,Teague,Freestone County,Texas,US
12,944720,Middletown,Frederick County,Virginia,US
13,1628400,Beeville,Bee County,Texas,US
14,738140,Varnville,Hampton County,South Carolina,US
15,1527621,Clarksville,Red River County,Texas,US
16,857495,Ladonia,Russell County,Alabama,US
17,639579,Whitesboro,Grayson County,Texas,US
18,1527720,Winnsboro,Wood County,Texas,US
19,868017,Chatsworth,Murray County,Georgia,US
20,829387,Wade,Jackson County,Mississippi,US
21,1056261,Enfield,Halifax County,North Carolina,US
22,1147232,Bowdon,Carroll County,Georgia,US
23,646765,Overton,Rusk County,Texas,US
24,1672137,Pierson,Volusia County,Florida,US
25,1548296,Magnolia,Montgomery County,Texas,US
26,1817933,Basye,Shenandoah County,Virginia,US
27,1386315,Villa Rica,Carroll County,Georgia,US
28,428344,Gainesville,Hall County,Georgia,US
29,816289,Kosciusko,Attala County,Mississippi,US
30,1377975,Blakely,Early County,Georgia,US
31,367225,Wanchese,Dare County,North Carolina,US
32,6417,Broken Bow,McCurtain County,Oklahoma,US
33,249598,Barnsdall,Osage County,Oklahoma,US
34,646299,Premont,Jim Wells County,Texas,US
35,422810,McRae,Telfair County,Georgia,US
36,405602,Crescent City,Putnam County,Florida,US
37,1198324,Inwood,Berkeley County,West Virginia,US
38,1588434,Barnwell,Barnwell County,South Carolina,US
39,395470,Cypress Quarters,Okeechobee County,Florida,US
40,250676,Lone Star,Lamar County,Texas,US
41,819375,New Augusta,Perry County,Mississippi,US
42,1013905,Wanchese,Dare County,North Carolina,US
43,606144,Henderson,Rusk County,Texas,US
44,683311,Conejos,Conejos County,Colorado,US
45,566803,Broken Bow,McCurtain County,Oklahoma,US
46,836116,Brookhaven,Lincoln County,Mississippi,US
47,428120,Sylvester,Worth County,Georgia,US
48,1240072,Sunnyside,Ware County,Georgia,US
49,1412278,Darien,McIntosh County,Georgia,US
50,1161843,Tuskegee,Macon County,Alabama,US
51,152494,Santa Cruz,,Sonora,MX
52,1034735,Jacksonville,Onslow County,North Carolina,US
53,628146,La Feria,Cameron County,Texas,US
54,657095,Kirby,Bexar County,Texas,US
55,553494,Ramtown,Monmouth County,New Jersey,US
56,1152877,Chatom,Washington County,Alabama,US
57,353994,Hot Springs,Garland County,Arkansas,US
58,476331,Hammond,Tangipahoa Parish,Louisiana,US
59,1690331,Daingerfield,Morris County,Texas,US
60,404147,Middleburg,Clay County,Florida,US
61,651797,Maud,Bowie County,Texas,US
62,624773,Santa Anna,Coleman County,Texas,US
63,386374,Magnolia,Columbia County,Arkansas,US
64,457015,Union Point,Greene County,Georgia,US
65,624834,Graham,Young County,Texas,US
66,154522,Blairsville,Union County,Georgia,US
67,855123,Millbrook,Elmore County,Alabama,US
68,598578,Huntsville,Walker County,Texas,US
69,893403,Cotton Valley,Webster Parish,Louisiana,US
70,1471180,Lasara,Willacy County,Texas,US
71,1540218,Tilden,McMullen County,Texas,US
72,845740,Monroeville,Monroe County,Alabama,US
73,381361,Arkadelphia,Clark County,Arkansas,US
74,605975,Cleveland,Liberty County,Texas,US
75,476595,DeQuincy,Calcasieu Parish,Louisiana,US
76,393830,Cripple Creek,Teller County,Colorado,US
77,1609482,Hilliard,Nassau County,Florida,US
78,1042153,Pinetops,Edgecombe County,North Carolina,US
79,625959,Kemp,Kaufman County,Texas,US
