OBJECT_ID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
373200,493,2008,2454466.5,1,1545,5,Debris Burning,2454467.5,2,1200,10,C,26.41166667,-98.92027778
1235411,FY2000-BLECKLEY-035,2000,2451544.5,1,1612,5,Debris Burning,2451544.5,1,1612,1.8,B,32.4926,-83.2451
916059,,2000,2451544.5,1,,7,Arson,,,,0.2,A,34.7825,-81.0139
476650,,2006,2453736.5,1,,9,Miscellaneous,,,,5,B,32.34754656,-93.86139613
565758,,2006,2453736.5,1,,13,Missing/Undefined,,,,1,B,34.37132999,-95.75216999
640704,,2008,2454466.5,1,,8,Children,,,,2,B,29.2612,-98.09705
1579051,SLEEPY,2012,2455927.5,1,1507,7,Arson,2455927.5,1,1930,145.1,D,35.0683,-96.6058
1330367,,2004,2453005.5,1,1230,9,Miscellaneous,2453005.5,1,1230,0.1,A,40.59219096,-73.92439405
814154,,2005,2453371.5,1,,5,Debris Burning,,,,15,C,30.4417,-89.3097
1414910,,1997,2450449.5,1,1540,1,Lightning,2450449.5,1,1602,0.1,A,31.8579,-81.7332
645470,,2008,2454466.5,1,,9,Miscellaneous,,,,2,B,29.2197,-99.7927
1548311,GRASS FIRE,2011,2455562.5,1,,9,Miscellaneous,,,,1,B,31.6197184,-96.281566
944720,,2002,2452275.5,1,,5,Debris Burning,,,,2,B,38.9742,-78.2683
1628400,CORRIGAN RD,2012,2455927.5,1,,5,Debris Burning,,,,5,B,28.257518,-97.669487
738140,,1994,2449353.5,1,,13,Missing/Undefined,2449353.5,1,1110,5,B,32.87083333,-81.025
1527621,HAMMETT,2009,2454832.5,1,,5,Debris Burning,,,,1,B,33.60379454,-95.15960069
857495,,2002,2452275.5,1,,5,Debris Burning,,,,3,B,32.2592,-85.2183
639579,,2008,2454466.5,1,,9,Miscellaneous,,,,28,C,33.69178,-96.98386
1527720,00_09,2009,2454832.5,1,,2,Equipment Use,,,,0.5,B,32.83328236,-95.29768272
868017,,1998,2450814.5,1,,5,Debris Burning,,,,1.1,B,34.7386,-84.8439
829387,,2000,2451544.5,1,,9,Miscellaneous,,,,0.1,A,30.5731,-88.5322
1056261,HEATHSVILLE CREEK FIRE,2004,2453005.5,1,,5,Debris Burning,,,,2.5,B,36.2333,-77.7333
1147232,,2009,2454832.5,1,2352,7,Arson,2454833.5,2,220,15,C,33.617928,-85.336177
646765,,2008,2454466.5,1,,5,Debris Burning,,,,1,B,32.2564,-95.0755
1672137,RILEY RD (64),2013,2456293.5,1,1328,9,Miscellaneous,2456293.5,1,1613,8.7,B,29.2187,-81.5016
1548296,HALL DRIVE NORTH,2011,2455562.5,1,,5,Debris Burning,,,,1,B,30.264887,-95.767221
1817933,786 LORI BES LANE,2015,2457024.5,2,1335,5,Debris Burning,2457024.5,2,1400,1,B,38.85948663,-78.93244624
1386315,,1993,2448989.5,2,2000,7,Arson,2448990.5,3,55,2.58,B,33.8301,-84.9604
428344,,2004,2453006.5,2,,2,Equipment Use,,,,0.4,B,34.26251752,-83.74234139
816289,,2006,2453737.5,2,,5,Debris Burning,,,,2,B,33.1136,-89.3997
1377975,,1993,2448989.5,2,1535,9,Miscellaneous,2448989.5,2,1615,10,C,31.3961,-84.957
367225,WINNABEGO,2003,2452641.5,2,1700,3,Smoking,2452641.5,2,1730,0.1,A,35.6927,-75.4908
6417,ROCK SHOP,2006,2453737.5,2,1600,7,Arson,2453737.5,2,1800,25,C,34.15611111,-94.74
249598,BULL CREEK,2006,2453737.5,2,1145,7,Arson,2453737.5,2,1400,15,C,36.4847,-96.1025
646299,,2008,2454467.5,2,,9,Miscellaneous,,,,40,C,27.39843,-98.30553
422810,,2005,2453372.5,2,,2,Equipment Use,,,,0.01,A,31.8743005,-82.96762982
405602,,2004,2453006.5,2,,7,Arson,,,,2,B,29.40027999,-81.63167
1198324,,2009,2454833.5,2,,5,Debris Burning,,,,3,B,39.28819063,-77.98081959
1588434,,2012,2455928.5,2,1238,10,Fireworks,2455928.5,2,1347,11,C,33.201729,-81.395653
395470,,2007,2454102.5,2,,9,Miscellaneous,,,,1,B,27.42110998,-80.80806
250676,BY GOLLY,2006,2453738.5,3,1630,9,Miscellaneous,2453738.5,3,2359,25,C,33.9178,-95.3917
819375,,2006,2453738.5,3,,7,Arson,,,,17,C,31.2603,-89.0897
1013905,,1995,2449720.5,3,,2,Equipment Use,,,,0.1,A,35.6883,-75.8917
606144,,1994,2449355.5,3,,5,Debris Burning,,,,20,C,32.13284,-94.83125
683311,,1994,2449355.5,3,,4,Campfire,,,,0.1,A,37.26223,-105.92058
566803,,2006,2453738.5,3,,13,Missing/Undefined,,,,0.1,A,34.04423506,-94.56935209
836116,,2002,2452277.5,3,1336,7,Arson,,,,1,B,31.6561,-90.5333
428120,,2004,2453007.5,3,,5,Debris Burning,,,,1.83,B,31.59089337,-83.88834262
1240072,FY2000-PIERCE-016,2000,2451546.5,3,1350,5,Debris Burning,2451546.5,3,1350,1.01,B,31.2582,-82.3174
1412278,,1996,2450085.5,3,1900,7,Arson,2450085.5,3,2010,0.15,A,31.515,-81.515
1161843,,2005,2453373.5,3,1054,7,Arson,2453373.5,3,1313,15,C,32.443371,-85.771879
152494,CORRAL,2002,2452277.5,3,1100,4,Campfire,2452277.5,3,1200,0.1,A,31.45333333,-110.6747222
1034735,THE PINES,2000,2451546.5,3,,5,Debris Burning,,,,0.5,B,34.7333,-77.4833
628146,,2006,2453738.5,3,,7,Arson,,,,1,B,26.14573001,-97.81453002
657095,,2008,2454468.5,3,,9,Miscellaneous,,,,0.5,B,29.48489,-98.34772
553494,,1998,2450816.5,3,,7,Arson,,,,0.25,A,40.1125,-74.125
1152877,,2008,2454468.5,3,1438,9,Miscellaneous,2454468.5,3,1526,0.1,A,31.370192,-88.253012
353994,W. MTN WF,2006,2453739.5,4,200,9,Miscellaneous,2453750.5,15,1800,50.1,C,34.5083,-93.075
476331,,2006,2453739.5,4,,7,Arson,,,,11,C,30.53385918,-90.35771738
1690331,DAINGERFIELD HIGH SCHOOL GRASS FIRE,2013,2456296.5,4,,9,Miscellaneous,,,,1,B,33.015519,-94.718714
